Number;Issue Date;Due Date;Status;Einvoicing Status;Currency;Purchase Order;Beneficiary Name;Client Name;Reference;Locale;Paid At;Finalized At;Imported At;Subtotal;Vat Amount;Amount Due;Created At;Updated At;Header;Footer
F-2026-033;2026-06-18;2026-07-18;unpaid;;EUR;;FONCTION LABS;REANOVA;QVY48ZX;fr;;2026-06-18T17:07:43+02:00;;960.00;192.00;1152.00;2026-06-18T17:07:43+02:00;2026-06-18T17:07:44+02:00;;
F-2026-032;2026-06-16;2026-07-16;unpaid;;EUR;;FONCTION LABS;YONDER MEDIA;QY6E45X;fr;;2026-06-16T12:00:02+02:00;;24405.70;4881.14;20646.84;2026-06-16T12:00:02+02:00;2026-06-16T12:00:03+02:00;Ce devis est émis conformément à la proposition technique du 09/04/2026 , annexée au présent document;"Montant de l'acompte : N/A

Pour valider la commande, merci de prendre connaissance des Conditions Générales de Vente (https://fonctionlabs.com/cgv-20250813), et de confirmer votre acceptation de leur contenu en apposant ci-dessous votre cachet et votre signature précédée de la mention ""Bon pour accord”. Les CGV ainsi référencées forment partie intégrante du présent devis.

Signature électronique ou manuscrite"
F-2026-031;2026-06-15;2026-07-15;unpaid;;EUR;;FONCTION LABS;BOUYGUES TELECOM;QYFCX4X;fr;;2026-06-15T17:54:29+02:00;;26250.00;5250.00;22050.00;2026-06-15T17:54:29+02:00;2026-06-15T17:54:30+02:00;;"Montant de l'acompte : 30%

Pour valider la commande, merci de prendre connaissance des Conditions Générales de Vente (https://fonctionlabs.com/cgv-20250813), et de confirmer votre acceptation de leur contenu en apposant ci-dessous votre cachet et votre signature précédée de la mention ""Bon pour accord”. Les CGV ainsi référencées forment partie intégrante du présent devis.

Signature électronique ou manuscrite"
F-2026-030;2026-06-15;2026-07-15;paid;;EUR;;FONCTION LABS;DOCOON IMMO;QXC4VYX;fr;2026-06-25T05:13:14+02:00;2026-06-15T17:42:57+02:00;;9854.00;1970.80;11824.80;2026-06-15T17:42:57+02:00;2026-06-25T05:13:15+02:00;Ce devis est émis conformément à la proposition technique du 09/04/2026 , annexée au présent document;"Montant de l'acompte : N/A

Pour valider la commande, merci de prendre connaissance des Conditions Générales de Vente (https://fonctionlabs.com/cgv-20250813), et de confirmer votre acceptation de leur contenu en apposant ci-dessous votre cachet et votre signature précédée de la mention ""Bon pour accord”. Les CGV ainsi référencées forment partie intégrante du présent devis.

Signature électronique ou manuscrite"
F-2026-029;2026-06-15;2026-07-15;unpaid;;EUR;;FONCTION LABS;DECLARANET;QWP3AQX;fr;;2026-06-15T12:38:45+02:00;;10620.00;2124.00;12744.00;2026-06-15T12:38:45+02:00;2026-06-15T12:38:46+02:00;;
F-2026-028;2026-06-12;2026-07-12;canceled;;EUR;;FONCTION LABS;DOCOON IMMO;QTCMANX;fr;;2026-06-12T14:35:33+02:00;;14400.00;2880.00;17280.00;2026-06-12T14:35:33+02:00;2026-06-15T17:47:26+02:00;;"
Pour valider la commande, merci de prendre connaissance des Conditions Générales de Vente (https://fonctionlabs.com/cgv-20250813), et de confirmer votre acceptation de leur contenu en apposant ci-dessous votre cachet et votre signature précédée de la mention ""Bon pour accord”. Les CGV ainsi référencées forment partie intégrante du présent devis.

Signature électronique ou manuscrite"
F-2026-027;2026-06-12;2026-06-27;unpaid;;EUR;;FONCTION LABS;ARTECOMM;QXW757X;fr;;2026-06-12T14:27:58+02:00;;4800.00;960.00;5760.00;2026-06-12T14:27:58+02:00;2026-06-12T14:27:59+02:00;Ce devis est émis conformément à la proposition technique du 09/04/2026 , annexée au présent document;
F-2026-026;2026-06-03;2026-06-18;unpaid;;EUR;;FONCTION LABS;A-SYSTEMS;QVYQTUX;fr;;2026-06-03T11:07:08+02:00;;1050.00;210.00;1260.00;2026-06-03T11:07:08+02:00;2026-06-03T11:07:09+02:00;;"Montant de l'acompte : N/A

Pour valider la commande, merci de prendre connaissance des Conditions Générales de Vente (https://fonctionlabs.com/cgv-20250813), et de confirmer votre acceptation de leur contenu en apposant ci-dessous votre cachet et votre signature précédée de la mention ""Bon pour accord”. Les CGV ainsi référencées forment partie intégrante du présent devis.

Signature électronique ou manuscrite"
F-2026-025;2026-05-28;2026-06-12;paid;;EUR;;FONCTION LABS;IN CURVE;QF2KB2X;fr;2026-06-11T05:04:35+02:00;2026-05-28T09:58:26+02:00;;11437.50;2287.50;13725.00;2026-05-28T09:58:26+02:00;2026-06-11T05:04:37+02:00;;
F-2026-024;2026-05-25;2026-05-25;paid;;EUR;;FONCTION LABS;DECLARANET;Q9E95MX;fr;2026-06-16T16:08:11+02:00;2026-05-25T19:21:02+02:00;;3150.00;630.00;3780.00;2026-05-25T19:21:02+02:00;2026-06-16T16:08:12+02:00;;
